分类名称,自然表达,金额,币种,备注
医疗诊疗,内科专家挂号费100元,100,CNY,专家号
医疗诊疗,艾灸调理一次90块,90,CNY,艾灸
医疗诊疗,香港牙科补牙500HKD一颗,500,HKD,补牙
医疗诊疗,核磁共振检查花了1200元,1200,CNY,核磁共振
医疗诊疗,狂犬疫苗五针400块,400,CNY,疫苗
医疗诊疗,儿科门诊看病花了180元,180,CNY,儿科
医疗诊疗,中药熏蒸花了150块,150,CNY,中药熏蒸
医疗诊疗,香港急症室就诊180HKD,180,HKD,急症室
医疗诊疗,尿常规检查花了30元,30,CNY,尿常规
医疗诊疗,康复治疗一次200块,200,CNY,康复
医疗诊疗,呼吸科挂号花了25元,25,CNY,呼吸科
医疗诊疗,小手术清创缝合花了500块,500,CNY,小手术
医疗诊疗,香港专科门诊诊金600HKD,600,HKD,专科门诊
医疗诊疗,肝功能检查花了120元,120,CNY,肝功能
医疗诊疗,腰椎牵引治疗一次80块,80,CNY,腰椎牵引
医疗诊疗,皮肤科激光治疗花了800元,800,CNY,激光治疗
医疗诊疗,视力验光花了50块,50,CNY,验光
医疗诊疗,香港中医诊症300HKD,300,HKD,中医诊症
医疗诊疗,胃镜检查花了400元,400,CNY,胃镜
医疗诊疗,伤口换药花了30块,30,CNY,换药
医疗诊疗,过敏原检测花了600元,600,CNY,过敏检测
医疗诊疗,推拿按摩一小时100块,100,CNY,推拿
医疗诊疗,香港健康检查2000HKD,2000,HKD,健康检查
医疗诊疗,牙齿矫正检查花了200元,200,CNY,矫正检查
医疗诊疗,医院停车费花了15块,15,CNY,停车费
药品保健,买感冒药花了45元,45,CNY,感冒药
药品保健,囤退烧药花了120块,120,CNY,退烧药
药品保健,买维生素片花了180HKD,180,HKD,维生素
药品保健,买创可贴碘伏花了25元,25,CNY,外伤用品
药品保健,蛋白粉花了320块,320,CNY,蛋白粉
药品保健,降压药每月花了150元,150,CNY,降压药
药品保健,买益生菌花了260HKD,260,HKD,益生菌
药品保健,眼药水花了68元,68,CNY,眼药水
药品保健,海外买保健品80USD,80,USD,保健品
药品保健,钙片花了110块,110,CNY,钙片
药品保健,买布洛芬花了30元,30,CNY,止痛药
药品保健,健胃消食片花了15块,15,CNY,消食片
药品保健,香港买鱼肝油150HKD,150,HKD,鱼肝油
药品保健,碘伏棉签花了10元,10,CNY,外伤用品
药品保健,氨糖软骨素花了198块,198,CNY,软骨素
药品保健,避孕药花了45元,45,CNY,避孕药
药品保健,褪黑素花了89块,89,CNY,褪黑素
药品保健,香港买整肠丸80HKD,80,HKD,肠胃药
药品保健,感冒药口服液花了58元,58,CNY,感冒药
药品保健,护肝片花了128块,128,CNY,护肝片
药品保健,医用口罩一盒25元,25,CNY,口罩
药品保健,血糖仪花了299块,299,CNY,血糖仪
药品保健,香港买维生素C100HKD,100,HKD,维生素
药品保健,体温计花了15元,15,CNY,体温计
药品保健,鱼油软胶囊花了168块,168,CNY,鱼油
药品保健,皮炎平药膏花了22元,22,CNY,药膏
药品保健,香港买活络油68HKD,68,HKD,活络油
药品保健,止咳糖浆花了35元,35,CNY,止咳药
药品保健,六味地黄丸花了48块,48,CNY,中成药
药品保健,血压计花了259元,259,CNY,血压计
药品保健,香港买保健品礼盒380HKD,380,HKD,礼盒
药品保健,口腔溃疡散花了12元,12,CNY,口腔药
药品保健,阿胶糕花了298块,298,CNY,阿胶
药品保健,红霉素软膏花了8元,8,CNY,软膏
药品保健,香港买感冒灵50HKD,50,HKD,感冒药
药品保健,胃药奥美拉唑花了45元,45,CNY,胃药
药品保健,叶黄素片花了79块,79,CNY,叶黄素
药品保健,医用酒精花了10元,10,CNY,消毒
药品保健,香港买双飞人药水45HKD,45,HKD,药水
药品保健,咽炎片花了28元,28,CNY,咽炎药
药品保健,丹参滴丸花了65块,65,CNY,中成药
药品保健,创可贴防水型15元,15,CNY,创可贴
药品保健,香港买补钙奶粉200HKD,200,HKD,补钙
药品保健,抗过敏药氯雷他定花了30元,30,CNY,抗过敏
药品保健,三七粉花了128块,128,CNY,三七粉
药品保健,纱布绷带花了18元,18,CNY,纱布
药品保健,香港买必理痛60HKD,60,HKD,止痛药
药品保健,开塞露花了5元,5,CNY,开塞露
药品保健,灵芝孢子粉花了398块,398,CNY,灵芝粉
教育学习,报英语培训班花了3000元,3000,CNY,英语班
教育学习,网课报名费花了1200块,1200,CNY,网课
教育学习,雅思考试费花了2170HKD,2170,HKD,雅思
教育学习,驾照报名费花了4500元,4500,CNY,考驾照
教育学习,技能培训课花了800块,800,CNY,技能培训
教育学习,考研辅导班花了6800元,6800,CNY,考研班
教育学习,编程课学费3500HKD,3500,HKD,编程课
教育学习,钢琴课一节200元,200,CNY,钢琴课
教育学习,海外留学申请费500USD,500,USD,留学申请
教育学习,职业资格考试报名花了300块,300,CNY,考证
教育学习,公务员考试培训费2500元,2500,CNY,考公
教育学习,日语入门班1200块,1200,CNY,日语班
教育学习,香港DSE补习费3000HKD,3000,HKD,DSE补习
教育学习,会计实操培训1500元,1500,CNY,会计培训
教育学习,舞蹈培训班年费3600块,3600,CNY,舞蹈班
教育学习,托福考试费2100元,2100,CNY,托福
教育学习,设计软件课程2800HKD,2800,HKD,设计课
教育学习,书法班一期800元,800,CNY,书法班
教育学习,健身教练证培训2000块,2000,CNY,教练证
教育学习,GRE考试费1600元,1600,CNY,GRE
教育学习,香港普通话培训1500HKD,1500,HKD,普通话
教育学习,教师资格证面试班1200元,1200,CNY,教资
教育学习,西点烘焙培训2800块,2800,CNY,烘焙课
教育学习,粤语学习班600元,600,CNY,粤语班
教育学习,法律职业资格考试报名费200块,200,CNY,法考
教育学习,香港进修移民咨询费5000HKD,5000,HKD,进修咨询
教育学习,PS软件教程399元,399,CNY,PS教程
教育学习,演讲与口才培训1500块,1500,CNY,口才培训
教育学习,专升本学费每年3000元,3000,CNY,专升本
教育学习,保育员证培训800块,800,CNY,保育员证
教育学习,香港MBA申请费10000HKD,10000,HKD,MBA申请
教育学习,原画设计网课4500元,4500,CNY,原画课
教育学习,叉车证考试报名600块,600,CNY,叉车证
教育学习,一级建造师培训5000元,5000,CNY,建造师
教育学习,心理咨询师培训2800块,2800,CNY,心理师
教育学习,香港雅思一对一500HKD每小时,500,HKD,雅思一对一
教育学习,证券从业资格考试报名61元,61,CNY,证券考试
教育学习,主持人培训1800块,1800,CNY,主持人
教育学习,注册会计师网课3200元,3200,CNY,注会网课
教育学习,化妆师培训3500块,3500,CNY,化妆培训
教育学习,香港升学规划咨询2000HKD,2000,HKD,升学咨询
教育学习,Python编程入门课99元,99,CNY,Python课
教育学习,人力资源管理师培训1200块,1200,CNY,人力证
教育学习,执业药师考试报名150元,150,CNY,药师考试
教育学习,电商运营培训2000块,2000,CNY,电商培训
教育学习,香港粤语一对一300HKD每小时,300,HKD,粤语一对一
教育学习,新媒体运营课899元,899,CNY,新媒体课
教育学习,塔吊司机证培训1500块,1500,CNY,塔吊证
教育学习,考研资料费200元,200,CNY,考研资料
教育学习,香港补习社补习每小时200HKD,200,HKD,补习
书籍文具,买专业书花了120元,120,CNY,专业书
书籍文具,买笔记本笔花了35块,35,CNY,文具
书籍文具,买英文原版书花了180HKD,180,HKD,原版书
书籍文具,打印资料花了50元,50,CNY,打印
书籍文具,买文具套装花了88块,88,CNY,文具
书籍文具,小说实体书花了49元,49,CNY,小说
书籍文具,买画笔纸花了150HKD,150,HKD,画材
书籍文具,订书器文件夹花了60元,60,CNY,办公用品
书籍文具,海外买教材120USD,120,USD,海外教材
书籍文具,买字帖花了28块,28,CNY,字帖
书籍文具,考研参考书花了200元,200,CNY,参考书
书籍文具,中性笔一盒15块,15,CNY,文具
书籍文具,香港诚品书店买书250HKD,250,HKD,书店
书籍文具,复印身份证花了2元,2,CNY,复印
书籍文具,装订论文花了30块,30,CNY,装订
书籍文具,精装版图书花了98元,98,CNY,精装书
书籍文具,彩铅套装花了128块,128,CNY,画材
书籍文具,香港教材书300HKD,300,HKD,教材
书籍文具,便利贴花了8元,8,CNY,文具
书籍文具,胶棒剪刀花了15块,15,CNY,文具
书籍文具,技术开发文档书籍158元,158,CNY,技术书
书籍文具,素描本花了25块,25,CNY,素描本
书籍文具,香港漫画书100HKD,100,HKD,漫画
书籍文具,文件袋十个10元,10,CNY,办公用品
书籍文具,钢笔墨水花了45块,45,CNY,钢笔
书籍文具,畅销书排行榜书籍59元,59,CNY,畅销书
书籍文具,马克笔套装88块,88,CNY,画材
书籍文具,香港考试用书350HKD,350,HKD,考试书
书籍文具,回形针长尾夹花了12元,12,CNY,办公用品
书籍文具,笔记本电脑支架89块,89,CNY,电脑配件
书籍文具,诗集散文集花了68元,68,CNY,文学书
书籍文具,水彩颜料套装128块,128,CNY,画材
书籍文具,香港字典词典180HKD,180,HKD,词典
书籍文具,书签套装花了20元,20,CNY,文具
书籍文具,计算器花了50块,50,CNY,文具
书籍文具,历史类书籍78元,78,CNY,历史书
书籍文具,画架画板花了150块,150,CNY,画材
书籍文具,香港儿童绘本120HKD,120,HKD,绘本
书籍文具,橡皮尺子套装8元,8,CNY,文具
书籍文具,文件夹收纳盒35块,35,CNY,办公用品
书籍文具,心理学书籍128元,128,CNY,心理书
书籍文具,宣纸毛边纸50块,50,CNY,文房
书籍文具,香港商业书籍280HKD,280,HKD,商业书
书籍文具,便签本花了10元,10,CNY,文具
书籍文具,订书钉回形针5块,5,CNY,办公用品
书籍文具,编程技术书籍199元,199,CNY,技术书
书籍文具,毛笔砚台套装200块,200,CNY,文房
书籍文具,香港旅游攻略书88HKD,88,HKD,旅游书
书籍文具,错题本花了12元,12,CNY,文具
书籍文具,精装笔记本68块,68,CNY,笔记本
休闲娱乐,去KTV唱歌花了380元,380,CNY,KTV
休闲娱乐,剧本杀人均花了128块,128,CNY,剧本杀
休闲娱乐,密室逃脱门票花了298HKD,298,HKD,密室
休闲娱乐,桌游吧消费花了80元,80,CNY,桌游
休闲娱乐,抓娃娃花了50块,50,CNY,抓娃娃
休闲娱乐,酒吧喝酒花了600元,600,CNY,酒吧
休闲娱乐,轰趴馆团建花了800HKD,800,HKD,轰趴
休闲娱乐,射箭馆体验花了150元,150,CNY,射箭
休闲娱乐,海外赌场小费100USD,100,USD,赌场小费
休闲娱乐,网吧上网花了40块,40,CNY,网吧
休闲娱乐,台球厅打球两小时80元,80,CNY,台球
休闲娱乐,棋牌室麻将一下午120块,120,CNY,棋牌
休闲娱乐,香港桌游吧每人150HKD,150,HKD,桌游
休闲娱乐,电玩城买游戏币花了100元,100,CNY,电玩城
休闲娱乐,DIY手工坊做陶艺128块,128,CNY,DIY
休闲娱乐,舞厅跳舞门票50元,50,CNY,舞厅
休闲娱乐,轰趴别墅一天1500块,1500,CNY,轰趴别墅
休闲娱乐,香港卡丁车体验200HKD,200,HKD,卡丁车
休闲娱乐,VR体验馆一小时80元,80,CNY,VR体验
休闲娱乐,狼人杀桌游吧50块每人,50,CNY,狼人杀
休闲娱乐,茶棋牌室喝茶打牌100元,100,CNY,茶棋牌
休闲娱乐,蹦床公园门票98块,98,CNY,蹦床
休闲娱乐,香港室内跳伞500HKD,500,HKD,室内跳伞
休闲娱乐,溜冰场门票40元,40,CNY,溜冰
休闲娱乐,真人CS野战150块,150,CNY,真人CS
休闲娱乐,插花体验课88元,88,CNY,插花课
休闲娱乐,香港海洋公园门票480HKD,480,HKD,海洋公园
休闲娱乐,攀岩馆体验120元,120,CNY,攀岩
休闲娱乐,桌游卡牌购买80块,80,CNY,桌游卡
休闲娱乐,密室逃脱恐怖主题198元,198,CNY,密室
休闲娱乐,酒吧台费最低消费200块,200,CNY,酒吧
休闲娱乐,香港杜莎夫人蜡像馆门票290HKD,290,HKD,蜡像馆
休闲娱乐,电竞酒店开黑一晚300元,300,CNY,电竞酒店
休闲娱乐,DIY蛋糕烘焙168块,168,CNY,烘焙DIY
休闲娱乐,脱口秀开放麦门票50元,50,CNY,脱口秀
休闲娱乐,室内滑雪场三小时300块,300,CNY,室内滑雪
休闲娱乐,香港天际100观景台门票188HKD,188,HKD,观景台
休闲娱乐,射箭馆办卡500元,500,CNY,射箭办卡
休闲娱乐,剧本杀城限本198块,198,CNY,城限本
休闲娱乐,温泉会馆门票128元,128,CNY,温泉
休闲娱乐,轰趴馆包场1200块,1200,CNY,轰趴包场
休闲娱乐,香港挪亚方舟门票168HKD,168,HKD,景点门票
休闲娱乐,网吧包夜30元,30,CNY,网吧包夜
休闲娱乐,抓娃娃充值100块,100,CNY,抓娃娃
休闲娱乐,棋牌室包房200元,200,CNY,棋牌包房
休闲娱乐,真人密室逃脱88块每人,88,CNY,密室
休闲娱乐,香港坪洲岛一日游套票300HKD,300,HKD,一日游
休闲娱乐,桌游吧通宵场100元,100,CNY,桌游通宵
休闲娱乐,KTV包厢费580块,580,CNY,KTV包厢
影视演出,电影票两张花了80元,80,CNY,电影
影视演出,演唱会门票花了1280块,1280,CNY,演唱会
影视演出,话剧票花了380HKD,380,HKD,话剧
影视演出,视频会员年卡花了198元,198,CNY,视频会员
影视演出,音乐节门票花了580块,580,CNY,音乐节
影视演出,相声演出票花了299元,299,CNY,相声
影视演出,迪士尼门票花了650HKD,650,HKD,迪士尼
影视演出,爱奇艺会员月费25元,25,CNY,视频会员
影视演出,百老汇门票150USD,150,USD,百老汇
影视演出,脱口秀演出花了180块,180,CNY,脱口秀
影视演出,IMAX电影票一张65元,65,CNY,IMAX
影视演出,林俊杰演唱会内场1880块,1880,CNY,演唱会
影视演出,香港话剧团演出280HKD,280,HKD,话剧
影视演出,腾讯视频季卡58元,58,CNY,视频会员
影视演出,草莓音乐节门票380块,380,CNY,音乐节
影视演出,京剧演出票180元,180,CNY,京剧
影视演出,香港迪士尼乐园一日票639HKD,639,HKD,迪士尼
影视演出,优酷会员月卡20元,20,CNY,视频会员
影视演出,音乐剧门票480块,480,CNY,音乐剧
影视演出,舞剧演出票380元,380,CNY,舞剧
影视演出,跨年演唱会门票880块,880,CNY,跨年演唱会
影视演出,香港电影节开幕影片120HKD,120,HKD,电影节
影视演出,B站大会员年卡148元,148,CNY,视频会员
影视演出,Livehouse演出票150块,150,CNY,Livehouse
影视演出,杂技表演门票80元,80,CNY,杂技
影视演出,香港海洋公园哈啰喂门票398HKD,398,HKD,海洋公园
影视演出,芒果TV会员月卡19元,19,CNY,视频会员
影视演出,德云社相声票280块,280,CNY,相声
影视演出,儿童剧门票120元,120,CNY,儿童剧
影视演出,电音节门票680块,680,CNY,电音节
影视演出,香港文化中心演出200HKD,200,HKD,演出
影视演出,私人影院两小时100元,100,CNY,私人影院
影视演出,摇滚乐队巡演280块,280,CNY,巡演
影视演出,戏曲表演门票50元,50,CNY,戏曲
影视演出,香港昂坪360缆车门票235HKD,235,HKD,缆车
影视演出,网易云音乐黑胶年卡128元,128,CNY,音乐会员
影视演出,脱口秀专场128块,128,CNY,脱口秀
影视演出,芭蕾舞剧门票580元,580,CNY,芭蕾舞剧
影视演出,音乐节VIP票980块,980,CNY,音乐节VIP
影视演出,香港太空馆天象厅30HKD,30,HKD,太空馆
影视演出,腾讯体育会员月卡30元,30,CNY,体育会员
影视演出,话剧暗恋桃花源380块,380,CNY,话剧
影视演出,木偶剧演出60元,60,CNY,木偶剧
影视演出,香港科学馆门票30HKD,30,HKD,科学馆
影视演出,爱奇艺奇异果会员年卡298元,298,CNY,视频会员
影视演出,相声专场演出199块,199,CNY,相声
影视演出,经典电影重映票40元,40,CNY,电影
影视演出,香港红馆演唱会门票880HKD,880,HKD,红馆演唱会
影视演出,优酷酷喵会员年卡248元,248,CNY,视频会员
影视演出,漫展门票80块,80,CNY,漫展
运动健身,健身卡年卡花了2400元,2400,CNY,健身年卡
运动健身,私教课一节花了300块,300,CNY,私教
运动健身,羽毛球场地费花了120HKD,120,HKD,羽毛球
运动健身,游泳票花了50元,50,CNY,游泳
运动健身,瑜伽课月卡花了800块,800,CNY,瑜伽
运动健身,篮球馆包场花了400元,400,CNY,篮球
运动健身,高尔夫练习场花了500HKD,500,HKD,高尔夫
运动健身,跑步装备花了350元,350,CNY,跑步装备
运动健身,海外滑雪票200USD,200,USD,滑雪
运动健身,乒乓球台租赁花了60块,60,CNY,乒乓球
运动健身,健身房季卡800元,800,CNY,健身季卡
运动健身,拳击课一节180块,180,CNY,拳击
运动健身,香港网球场一小时150HKD,150,HKD,网球
运动健身,保龄球三局80元,80,CNY,保龄球
运动健身,舞蹈班月卡600块,600,CNY,舞蹈班
运动健身,击剑体验课198元,198,CNY,击剑
运动健身,香港健身中心月卡800HKD,800,HKD,健身月卡
运动健身,轮滑场地费30元,30,CNY,轮滑
运动健身,散打课一节150块,150,CNY,散打
运动健身,壁球馆一小时100元,100,CNY,壁球
运动健身,香港保龄球城50HKD一局,50,HKD,保龄球
运动健身,动感单车月卡300元,300,CNY,动感单车
运动健身,普拉提一节280块,280,CNY,普拉提
运动健身,射箭馆一小时80元,80,CNY,射箭
运动健身,香港攀石场180HKD,180,HKD,攀石
运动健身,健身房次卡20次500元,500,CNY,次卡
运动健身,跆拳道月卡400块,400,CNY,跆拳道
运动健身,潜水体验课380元,380,CNY,潜水
运动健身,香港冲浪教学500HKD,500,HKD,冲浪
运动健身,乒乓球培训一期1200元,1200,CNY,乒乓球培训
运动健身,羽毛球拍一支800块,800,CNY,球拍
运动健身,瑜伽垫一张128元,128,CNY,瑜伽垫
运动健身,香港健身私教400HKD一节,400,HKD,私教
运动健身,篮球一双600元,600,CNY,篮球鞋
运动健身,游泳培训10节课1500块,1500,CNY,游泳培训
运动健身,跑步机一台2999元,2999,CNY,跑步机
运动健身,香港瑜伽中心月卡900HKD,900,HKD,瑜伽月卡
运动健身,哑铃套装500元,500,CNY,哑铃
运动健身,羽毛球线更换30块,30,CNY,换线
运动健身,护膝护腕套装88元,88,CNY,护具
运动健身,香港运动用品店买鞋800HKD,800,HKD,运动鞋
运动健身,健身蛋白粉320元,320,CNY,蛋白粉
运动健身,乒乓球拍一副200块,200,CNY,球拍
运动健身,速干运动衣150元,150,CNY,运动衣
运动健身,香港健身手套150HKD,150,HKD,健身手套
运动健身,游泳镜一副128元,128,CNY,泳镜
运动健身,篮球比赛报名费100块,100,CNY,报名费
运动健身,运动背包299元,299,CNY,运动包
运动健身,香港羽毛球馆80HKD每小时,80,HKD,羽毛球
旅游度假,三亚旅游花了5000元,5000,CNY,三亚游
旅游度假,省内游跟团花了1200块,1200,CNY,跟团游
旅游度假,日本旅行花了8000HKD,8000,HKD,日本游
旅游度假,景区门票花了180元,180,CNY,景区门票
旅游度假,跟团游团费3500块,3500,CNY,跟团游
旅游度假,云南自由行花了6000元,6000,CNY,自由行
旅游度假,泰国旅游花了12000HKD,12000,HKD,泰国游
旅游度假,导游小费花了200元,200,CNY,导游小费
旅游度假,欧洲游花费2000USD,2000,USD,欧洲游
旅游度假,周边自驾游花了800块,800,CNY,自驾游
旅游度假,成都重庆旅游4000元,4000,CNY,川渝游
旅游度假,海岛游跟团3800块,3800,CNY,海岛游
旅游度假,韩国济州岛5000HKD,5000,HKD,济州岛
旅游度假,古镇一日游199元,199,CNY,古镇游
旅游度假,亲子游乐园行1500块,1500,CNY,亲子游
旅游度假,新疆自驾游10000元,10000,CNY,新疆自驾
旅游度假,新加坡旅游8000HKD,8000,HKD,新加坡游
旅游度假,漂流门票180元,180,CNY,漂流
旅游度假,登山徒步团300块,300,CNY,徒步
旅游度假,马尔代夫蜜月游20000元,20000,CNY,蜜月游
旅游度假,香港本地一日游300HKD,300,HKD,香港一日游
旅游度假,张家界旅游2500元,2500,CNY,张家界
旅游度假,游轮游三天两晚1800块,1800,CNY,游轮游
旅游度假,台湾环岛游12000HKD,12000,HKD,环岛游
旅游度假,草原五日游3000元,3000,CNY,草原游
旅游度假,温泉度假村两日游880块,880,CNY,温泉度假
旅游度假,香港离岛游200HKD,200,HKD,离岛游
旅游度假,西藏旅行8000元,8000,CNY,西藏游
旅游度假,摄影团采风1500块,1500,CNY,摄影团
旅游度假,美国东西海岸游20000HKD,20000,HKD,美国游
旅游度假,黄山旅游1200元,1200,CNY,黄山
旅游度假,农家乐两日游600块,600,CNY,农家乐
旅游度假,港澳五日游3000HKD,3000,HKD,港澳游
旅游度假,桂林山水游1800元,1800,CNY,桂林游
旅游度假,沙漠穿越团2500块,2500,CNY,沙漠穿越
旅游度假,香港长洲岛一日游150HKD,150,HKD,长洲岛
旅游度假,西安古都游2000元,2000,CNY,西安游
旅游度假,滑雪度假三日游1500块,1500,CNY,滑雪度假
旅游度假,澳大利亚游15000HKD,15000,HKD,澳洲游
旅游度假,武夷山旅游800元,800,CNY,武夷山
旅游度假,海滨度假一周5000块,5000,CNY,海滨度假
旅游度假,香港南丫岛一日游180HKD,180,HKD,南丫岛
旅游度假,九寨沟旅游2200元,2200,CNY,九寨沟
旅游度假,美食团逛吃800块,800,CNY,美食团
旅游度假,欧洲十国游25000HKD,25000,HKD,欧洲多国游
旅游度假,长白山旅游1800元,1800,CNY,长白山
旅游度假,露营装备租赁300块,300,CNY,露营
旅游度假,香港大屿山一日游250HKD,250,HKD,大屿山
旅游度假,丽江大理游3000元,3000,CNY,丽江大理
旅游度假,签证办理费500块,500,CNY,签证费
酒店住宿,酒店住一晚花了380元,380,CNY,酒店
酒店住宿,民宿两晚花了600块,600,CNY,民宿
酒店住宿,香港酒店一晚1200HKD,1200,HKD,香港酒店
酒店住宿,出差住宿报销前花了450元,450,CNY,出差住宿
酒店住宿,五星级酒店一晚1800块,1800,CNY,五星级
酒店住宿,快捷酒店住三晚花了750元,750,CNY,快捷酒店
酒店住宿,海景酒店一晚2500HKD,2500,HKD,海景酒店
酒店住宿,青旅床位花了80元,80,CNY,青旅
酒店住宿,海外酒店一晚300USD,300,USD,海外酒店
酒店住宿,钟点房花了120块,120,CNY,钟点房
酒店住宿,连锁酒店标间一晚280元,280,CNY,连锁酒店
酒店住宿,度假别墅一晚3000块,3000,CNY,度假别墅
酒店住宿,香港铜锣湾酒店一晚1800HKD,1800,HKD,铜锣湾
酒店住宿,商务酒店一晚320元,320,CNY,商务酒店
酒店住宿,主题酒店一晚480块,480,CNY,主题酒店
酒店住宿,机场附近酒店一晚350元,350,CNY,机场酒店
酒店住宿,香港尖沙咀酒店一晚2000HKD,2000,HKD,尖沙咀
酒店住宿,民宿包院一天1500元,1500,CNY,包院
酒店住宿,电竞酒店双人间一晚260块,260,CNY,电竞酒店
酒店住宿,温泉酒店一晚680元,680,CNY,温泉酒店
酒店住宿,香港迪士尼酒店一晚3000HKD,3000,HKD,迪士尼酒店
酒店住宿,招待所一晚80元,80,CNY,招待所
酒店住宿,公寓式酒店两晚800块,800,CNY,公寓酒店
酒店住宿,海景民宿一晚580元,580,CNY,海景民宿
酒店住宿,香港旺角酒店一晚800HKD,800,HKD,旺角
酒店住宿,全季酒店一晚350元,350,CNY,全季
酒店住宿,四合院民宿一晚1200块,1200,CNY,四合院
酒店住宿,香港中环酒店一晚2500HKD,2500,HKD,中环
酒店住宿,如家酒店一晚220元,220,CNY,如家
酒店住宿,度假酒店三晚2400块,2400,CNY,度假酒店
酒店住宿,江景酒店一晚420元,420,CNY,江景酒店
酒店住宿,香港油麻地酒店一晚600HKD,600,HKD,油麻地
酒店住宿,汉庭酒店一晚199元,199,CNY,汉庭
酒店住宿,网红民宿一晚520块,520,CNY,网红民宿
酒店住宿,香港机场酒店一晚1000HKD,1000,HKD,机场酒店
酒店住宿,七天酒店一晚150元,150,CNY,七天
酒店住宿,精品酒店一晚380块,380,CNY,精品酒店
酒店住宿,山景民宿一晚280元,280,CNY,山景民宿
酒店住宿,香港北角酒店一晚700HKD,700,HKD,北角
酒店住宿,维也纳酒店一晚260元,260,CNY,维也纳
酒店住宿,loft酒店一晚450块,450,CNY,loft酒店
酒店住宿,香港红磡酒店一晚900HKD,900,HKD,红磡
酒店住宿,亚朵酒店一晚360元,360,CNY,亚朵
酒店住宿,家庭套房一晚680块,680,CNY,家庭套房
酒店住宿,香港铜锣湾迷你酒店一晚500HKD,500,HKD,迷你酒店
酒店住宿,格林豪泰一晚200元,200,CNY,格林豪泰
酒店住宿,海边木屋一晚380块,380,CNY,海边木屋
酒店住宿,香港佐敦酒店一晚650HKD,650,HKD,佐敦
酒店住宿,酒店押金500元,500,CNY,押金
酒店住宿,加早餐每人50块,50,CNY,早餐
人情送礼,给朋友买生日礼物花了300元,300,CNY,生日礼物
人情送礼,探望病人买果篮花了150块,150,CNY,探病
人情送礼,给客户送伴手礼花了500HKD,500,HKD,客户伴手礼
人情送礼,教师节买花送老师花了200元,200,CNY,教师节
人情送礼,给长辈买营养品花了400块,400,CNY,长辈礼品
人情送礼,乔迁礼物花了888元,888,CNY,乔迁礼
人情送礼,结婚礼物买首饰花了2000HKD,2000,HKD,结婚礼
人情送礼,给同事买离职礼物花了150元,150,CNY,离职礼
人情送礼,给外国客户送礼100USD,100,USD,客户礼品
人情送礼,满月礼物花了300块,300,CNY,满月礼
人情送礼,春节给长辈买礼品500元,500,CNY,春节礼
人情送礼,端午节送粽子礼盒128块,128,CNY,端午礼
人情送礼,香港客户送茶叶礼盒800HKD,800,HKD,茶叶礼盒
人情送礼,中秋节送月饼礼盒200元,200,CNY,中秋礼
人情送礼,给领导买烟酒600块,600,CNY,领导礼品
人情送礼,新生儿礼物套装399元,399,CNY,新生儿礼
人情送礼,香港朋友搬家送摆件1000HKD,1000,HKD,搬家礼
人情送礼,感恩节送老师鲜花180元,180,CNY,感恩礼
人情送礼,给客户定制礼品500块,500,CNY,定制礼品
人情送礼,生日鲜花蛋糕288元,288,CNY,生日礼
人情送礼,香港亲戚送礼金饰3000HKD,3000,HKD,金饰礼
人情送礼,毕业礼物送钢笔200元,200,CNY,毕业礼
人情送礼,探望长辈买牛奶水果150块,150,CNY,探长辈
人情送礼,商务伴手礼每人80元,80,CNY,商务伴手礼
人情送礼,香港客户送保健品500HKD,500,HKD,保健品礼
人情送礼,情人节送女朋友礼物520元,520,CNY,情人节礼
人情送礼,六一给孩子买玩具300块,300,CNY,六一礼物
人情送礼,重阳节送老人补品280元,280,CNY,重阳礼
人情送礼,香港朋友结婚送餐具套装800HKD,800,HKD,结婚餐具礼
人情送礼,跨年礼物送朋友199元,199,CNY,跨年礼
人情送礼,给师傅买烟酒茶400块,400,CNY,师傅礼品
人情送礼,开业礼物送招财摆件666元,666,CNY,开业礼
人情送礼,香港客户送本地特产300HKD,300,HKD,本地特产
人情送礼,母亲节送妈妈项链888元,888,CNY,母亲节礼
人情送礼,父亲节送爸爸手表1200块,1200,CNY,父亲节礼
人情送礼,七夕送男朋友礼物500元,500,CNY,七夕礼
人情送礼,香港闺蜜生日送香水600HKD,600,HKD,生日香水礼
人情送礼,元宵节送花灯礼品100元,100,CNY,元宵礼
人情送礼,给客户送日历台历50块,50,CNY,日历礼
人情送礼,升职礼物送钢笔礼盒280元,280,CNY,升职礼
人情送礼,香港同事离职送定制水杯200HKD,200,HKD,离职礼
人情送礼,冬至送长辈保暖内衣300元,300,CNY,冬至礼
人情送礼,给孩子买升学礼物400块,400,CNY,升学礼
人情送礼,圣诞节送苹果礼盒88元,88,CNY,圣诞礼
人情送礼,香港客户送定制钢笔500HKD,500,HKD,定制钢笔礼
人情送礼,闺蜜礼物送香水300元,300,CNY,闺蜜礼
人情送礼,战友聚会纪念品150块,150,CNY,纪念品
人情送礼,老师退休礼物200元,200,CNY,退休礼
人情送礼,香港朋友乔迁送绿植盆栽300HKD,300,HKD,乔迁绿植礼
红包礼金,给侄子发压岁钱红包2000块,2000,CNY,压岁钱
红包礼金,朋友结婚随份子888元,888,CNY,结婚随礼
红包礼金,微信群里发红包200HKD,200,HKD,群红包
红包礼金,生孩子随礼666元,666,CNY,满月随礼
红包礼金,过年给长辈包红包5000块,5000,CNY,过年红包
